Robot has been awakened!
Kenobi start position Row: 8, Column 8
Kenobi moved up to (7, 8) | Reward: 2.0 | Distance to food: 5
Kenobi moved right to (7, 9) | Reward: -2.0 | Distance to food: 6
Kenobi moved down to (8, 9) | Reward: -2.0 | Distance to food: 7
Kenobi moved right to (8, 10) | Reward: -2.0 | Distance to food: 8
Kenobi moved up to (7, 10) | Reward: 2.0 | Distance to food: 7
Kenobi moved left to (7, 9) | Reward: 2.0 | Distance to food: 6
Kenobi moved down to (8, 9) | Reward: -2.0 | Distance to food: 7
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 8
Kenobi moved up to (8, 9) | Reward: 2.0 | Distance to food: 7
Kenobi moved down to (9, 9) | Reward: -2.0 | Distance to food: 8
Kenobi moved left to (9, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved down to (10, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved up to (9, 8) | Reward: 2.0 | Distance to food: 7
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 6
Kenobi moved left to (8, 7) | Reward: 2.0 | Distance to food: 5
Kenobi moved right to (8, 8) | Reward: -2.0 | Distance to food: 6
Kenobi moved down to (9, 8) | Reward: -2.0 | Distance to food: 7
Kenobi moved up to (8, 8) | Reward: 2.0 | Distance to food: 6
Kenobi moved left to (8, 7) | Reward: 2.0 | Distance to food: 5
Kenobi moved down to (9, 7) | Reward: -2.0 | Distance to food: 6
Kenobi moved right to (9, 8) | Reward: -2.0 | Distance to food: 7
Kenobi moved down to (10, 8) | Reward: -2.0 | Distance to food: 8
Kenobi moved right to (10, 9) | Reward: -2.0 | Distance to food: 9
Kenobi moved up to (9, 9) | Reward: 2.0 | Distance to food: 8
Kenobi moved down to (10, 9) | Reward: -2.0 | Distance to food: 9
Kenobi moved right to (10, 10) | Reward: -2.0 | Distance to food: 10
Kenobi moved left to (10, 9) | Reward: 2.0 | Distance to food: 9
Kenobi moved right to (10, 10) | Reward: -2.0 | Distance to food: 10
Kenobi moved down to (11, 10) | Reward: -2.0 | Distance to food: 11
Kenobi moved left to (11, 9) | Reward: 2.0 | Distance to food: 10
Kenobi moved down to (12, 9) | Reward: -2.0 | Distance to food: 11
Kenobi moved left to (12, 8) | Reward: 2.0 | Distance to food: 10
Kenobi moved down to (13, 8) | Reward: -2.0 | Distance to food: 11
Kenobi moved right to (13, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (14, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved right to (14, 10) | Reward: -2.0 | Distance to food: 14
Kenobi moved left to (14, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved right to (14, 10) | Reward: -2.0 | Distance to food: 14
Kenobi moved left to (14, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved right to (14, 10) | Reward: -2.0 | Distance to food: 14
Kenobi moved right to (14, 11) | Reward: -2.0 | Distance to food: 15
Kenobi moved down to (15, 11) | Reward: -2.0 | Distance to food: 16
Kenobi moved left to (15, 10) | Reward: 2.0 | Distance to food: 15
Kenobi moved up to (14, 10) | Reward: 2.0 | Distance to food: 14
Kenobi moved up to (13, 10) | Reward: 2.0 | Distance to food: 13
Kenobi moved down to (14, 10) | Reward: -2.0 | Distance to food: 14
Kenobi moved left to (14, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved left to (14, 8) | Reward: 2.0 | Distance to food: 12
Kenobi moved right to (14, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (13, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (12, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved left to (12, 8) | Reward: 2.0 | Distance to food: 10
Kenobi moved right to (12, 9) | Reward: -2.0 | Distance to food: 11
Kenobi moved down to (13, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved right to (13, 10) | Reward: -2.0 | Distance to food: 13
Kenobi moved left to (13, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved down to (14, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (15, 9) | Reward: -2.0 | Distance to food: 14
Kenobi moved right to (15, 10) | Reward: -2.0 | Distance to food: 15
Kenobi moved up to (14, 10) | Reward: 2.0 | Distance to food: 14
Kenobi moved left to (14, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved down to (15, 9) | Reward: -2.0 | Distance to food: 14
Kenobi moved up to (14, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved up to (13, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (12, 9) | Reward: 2.0 | Distance to food: 11
Kenobi moved down to (13, 9) | Reward: -2.0 | Distance to food: 12
Kenobi moved down to (14, 9) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (15, 9) | Reward: -2.0 | Distance to food: 14
Kenobi moved up to (14, 9) | Reward: 2.0 | Distance to food: 13
Kenobi moved up to (13, 9) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (12, 9) | Reward: 2.0 | Distance to food: 11
